"Year","Gear","N Lengthed (CA)","N Lengthed (OR)","N Lengthed (WA)","N Age (CA)","N Aged (OR)","N Aged (WA)"
1980,"HKL",0,0,200,0,0,0
1981,"HKL",0,579,0,0,0,0
1982,"HKL",0,196,0,0,0,0
1985,"HKL",0,200,0,0,0,0
1986,"HKL",0,684,150,0,188,46
1987,"HKL",1012,449,27,773,97,0
1988,"HKL",440,124,83,155,53,0
1989,"HKL",66,113,0,13,42,0
1990,"HKL",142,279,0,13,88,0
1991,"HKL",167,309,33,0,217,45
1992,"HKL",0,0,0,0,0,0
1993,"HKL",2106,526,33,0,48,0
1994,"HKL",2423,539,61,18,30,36
1995,"HKL",1070,779,0,39,159,0
1996,"HKL",570,597,88,18,488,33
1997,"HKL",343,1190,43,26,942,0
1998,"HKL",124,685,80,0,291,0
1999,"HKL",757,826,122,0,741,16
2000,"HKL",448,1043,260,131,385,0
2001,"HKL",748,452,190,204,381,11
2002,"HKL",1082,253,116,285,138,0
2003,"HKL",1226,428,326,0,256,14
2004,"HKL",371,305,343,125,23,0
2005,"HKL",1503,404,397,238,236,236
2006,"HKL",1807,500,1845,0,59,710
2007,"HKL",1118,798,882,735,283,457
2008,"HKL",2947,1060,1983,0,30,368
2009,"HKL",3130,1293,535,319,307,315
2010,"HKL",3217,1240,836,313,244,344
2011,"HKL",3399,2076,1252,259,237,169
2012,"HKL",3569,1564,1078,340,392,182
2013,"HKL",3403,999,707,113,158,636
2014,"HKL",3962,1192,1619,0,0,45
2015,"HKL",4884,2158,1282,0,422,0
2016,"HKL",3615,2208,1702,67,116,138
2017,"HKL",2776,1838,1930,62,349,219
2018,"HKL",1976,1907,1823,100,352,718
2019,"HKL",955,1756,2170,0,20,0
2020,"HKL",321,882,513,0,219,489
2021,"HKL",558,1311,1018,0,19,170
2022,"HKL",740,1522,709,0,220,86
2023,"HKL",459,1141,1120,0,0,0
2024,"HKL",821,1144,1086,0,0,0
1970,"POT",0,0,365,0,0,0
1979,"POT",0,385,0,0,0,0
1980,"POT",0,567,300,0,0,0
1981,"POT",0,0,100,0,0,0
1983,"POT",0,0,1448,0,0,0
1985,"POT",0,413,0,0,0,0
1986,"POT",221,503,0,19,120,0
1987,"POT",229,530,0,94,127,0
1988,"POT",144,332,0,0,86,0
1989,"POT",659,964,0,0,229,0
1990,"POT",387,386,0,0,79,0
1991,"POT",0,504,0,0,309,0
1993,"POT",446,327,0,29,93,0
1994,"POT",19,324,0,0,84,0
1995,"POT",368,407,39,101,19,0
1996,"POT",64,324,0,64,259,0
1997,"POT",273,417,0,268,333,0
1998,"POT",120,715,0,0,0,0
1999,"POT",168,384,0,0,303,0
2000,"POT",198,332,43,97,167,0
2001,"POT",44,212,24,10,184,0
2002,"POT",15,192,33,15,150,0
2003,"POT",85,188,85,0,176,0
2004,"POT",97,187,191,60,34,0
2005,"POT",80,226,33,32,130,0
2006,"POT",278,242,78,0,11,73
2007,"POT",268,612,28,26,338,26
2008,"POT",680,1237,70,0,30,21
2009,"POT",873,530,139,49,300,61
2010,"POT",1145,584,15,41,259,0
2011,"POT",934,779,119,35,180,57
2012,"POT",1933,816,364,50,8,0
2013,"POT",910,1128,218,0,185,60
2014,"POT",1009,892,645,0,0,0
2015,"POT",1502,1283,90,0,232,0
2016,"POT",2237,1172,287,50,131,36
2017,"POT",1054,904,232,39,245,30
2018,"POT",673,1015,452,0,161,36
2019,"POT",676,1171,227,0,0,0
2020,"POT",548,449,100,0,65,100
2021,"POT",319,235,264,0,0,0
2022,"POT",389,642,381,0,89,91
2023,"POT",432,807,451,0,0,0
2024,"POT",146,505,562,0,0,0
1967,"TWL",0,0,188,0,0,0
1974,"TWL",0,0,133,0,0,0
1975,"TWL",0,0,241,0,0,0
1977,"TWL",0,0,348,0,0,0
1978,"TWL",737,622,210,0,0,0
1979,"TWL",505,0,0,0,0,0
1980,"TWL",2724,100,700,0,0,0
1981,"TWL",1739,301,700,0,0,0
1982,"TWL",0,425,0,0,0,0
1983,"TWL",0,236,800,0,35,0
1984,"TWL",0,0,100,0,0,0
1985,"TWL",2,2620,0,0,0,0
1986,"TWL",2573,1572,1094,728,477,229
1987,"TWL",3058,1269,590,2089,282,159
1988,"TWL",2540,924,264,1008,369,90
1989,"TWL",3209,1061,278,884,357,0
1990,"TWL",3222,1470,96,783,320,36
1991,"TWL",2797,1283,779,417,778,593
1992,"TWL",0,0,778,0,0,694
1993,"TWL",2800,1292,468,320,249,249
1994,"TWL",1977,1426,97,288,329,41
1995,"TWL",1461,1296,164,232,212,0
1996,"TWL",1609,670,0,656,361,0
1997,"TWL",1238,1128,506,688,884,334
1998,"TWL",919,1133,602,230,262,95
1999,"TWL",1578,943,768,0,523,251
2000,"TWL",1659,1097,493,513,952,126
2001,"TWL",1721,1444,571,384,1007,137
2002,"TWL",1663,1175,992,203,663,181
2003,"TWL",1998,1229,644,249,303,182
2004,"TWL",1487,1342,1176,395,338,92
2005,"TWL",1643,952,852,346,624,206
2006,"TWL",1542,1317,672,501,501,507
2007,"TWL",1483,1639,607,612,478,514
2008,"TWL",974,2021,551,0,60,101
2009,"TWL",517,2088,469,152,631,168
2010,"TWL",571,2429,251,172,597,186
2011,"TWL",542,1974,516,191,374,212
2012,"TWL",1391,2137,394,72,0,0
2013,"TWL",1574,1855,467,0,460,410
2014,"TWL",1559,1754,297,0,909,0
2015,"TWL",2386,1594,80,0,727,0
2016,"TWL",2370,1465,50,44,293,35
2017,"TWL",1319,2153,300,23,583,40
2018,"TWL",638,2051,243,15,963,40
2019,"TWL",504,2039,320,0,562,0
2020,"TWL",418,1268,31,0,337,1
2021,"TWL",282,1587,370,0,103,80
2022,"TWL",378,1637,553,0,269,357
2023,"TWL",438,1384,220,0,0,0
2024,"TWL",485,1330,720,0,0,0
