#year,month,fleet,sex,partition,age_error,age_low,age_high,input_n,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50
2017,7,5,0,2,1,-1,-1,369,0,1.10843156,3.325434813,15.19455791,27.74064514,7.833692881,4.831060013,5.048267304,5.656816803,3.896278833,3.678209413,2.674359545,1.491216367,1.509232283,1.053090086,2.263213306,1.121428304,0.686731797,0.844571018,0.482783662,0.80225431,0.822451828,0.223517327,0.5420546,0.411319019,0.019892964,0.080081932,0.391092746,0.907736701,0.457113106,0.019836631,0.223413287,0.302258217,0.130685086,0.074471096,0.016800898,0.306555674,0,0.048265535,0.005610836,0,0.696362007,0.00255038,0,0,0.224943515,0.015275718,0.388361417,0.059678892,0.004080608,2.383314634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,5,0,2,1,-1,-1,499,0.146758467,0.287118646,17.09251283,6.583696402,10.27850933,16.41873892,7.708503961,7.956169116,4.437054542,4.130589139,4.315836835,1.621198812,1.972603639,0.869929219,0.386212091,1.450702823,1.266580514,1.214163306,0.682744776,1.108801598,1.461213294,0.57102704,0.173756498,0.364400625,0,0.404972562,0.049580059,1.159539238,0.778424798,0.101853835,0.080205555,0.079383378,0.493457754,0.086993229,0.134921013,0.24553444,0.048047244,0,0.201305861,0.083119542,0.293160944,0,0,0.006060822,0.38222318,0.13288512,0.042692679,0.087784217,0.20921709,0.040694088,2.359120935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,7,5,0,2,1,-1,-1,484,0.152736135,1.525034513,1.630236305,32.04329993,7.779189377,6.749457313,15.15333995,4.198303815,5.806739007,4.694040553,1.884040129,3.448183567,0.968346318,0.323448992,0.794818492,1.225094311,1.441486039,0.153729471,0.788972466,2.267436456,0.384764114,0.77419155,0.035802664,0.283245418,0.415964461,0.665413644,0.154049994,0.052554369,0.765935726,0.036456762,0.036131129,0.212287276,0.157878374,0.355313537,0,0.202005856,0,0.228173553,0.012810127,0.128101275,0.01708017,0.035802664,0,0,0,0,0,0.248647859,0,0.352633131,1.416823207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,5,0,2,1,-1,-1,92,0,1.924967863,2.931424715,10.63842482,5.823486886,19.20830147,16.38039714,3.595628898,2.755997945,3.455845376,2.477050785,1.867086327,2.756617828,4.196295117,2.410103466,1.492057367,0.78849064,0.546736434,0.528139957,0.371929547,2.306583076,0.159929705,1.599297053,1.485238659,0.427718979,1.368700734,0.171087592,1.06495827,0.427718979,0,0,0,0,2.350594739,0,0.178526183,0,0,0,0.587648685,0.331017297,0,0.308701524,0.245473501,0,0.401683911,0,0,0,0.327298002,2.108840533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,5,0,2,1,-1,-1,238,0.041365934,5.085476589,4.621638638,2.963147973,2.59751057,25.47429167,8.057736283,4.243636195,4.079048402,3.537133037,3.760791782,5.425312103,5.616167124,2.710304731,0.964431308,1.110568705,1.730806467,0.559223635,0.949088537,0.271833283,0.50865333,2.709179434,2.295400355,1.964549615,0.386261127,1.266297143,0.514915188,0.400468727,0.914637576,0.169224277,0.020951577,0.391633327,0.038142615,0.325399699,0.14343772,0.203069132,0.025249337,0.751033457,0.029547096,0.273793071,0,0.004834979,0.135379422,0.348655732,0.523789428,0.197691742,0,0,0,0,1.658291929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,7,5,0,2,1,-1,-1,270,0,2.440221892,21.41193519,7.102445226,3.836513659,3.034885997,20.82685968,4.538289915,2.832673493,3.537807316,1.537660511,3.462972104,3.008982131,2.88523344,1.83273778,0.994904705,0.738557256,0.822236784,1.5249945,0.878225871,1.457907621,0.816710703,0.81531219,1.166415151,0.423428723,0.457144623,0.404523383,0.062187447,0.928458439,0,0,0,0.479654481,0.202267742,0.501453401,0.292891368,0.109774363,0.089779553,0.494008261,0,0,0.205020187,0.055608195,0,0.148618985,0.312018755,0,0.790122947,0.127078696,0,2.411477341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7,5,0,2,1,-1,-1,336,1.421044301,0.533368262,11.51587745,19.34895926,5.962854788,5.05123964,5.90877874,13.43779478,3.662797256,2.969840761,1.942896798,3.372784913,2.992956468,1.594702731,1.882629103,2.929835205,2.068865398,1.780791158,0.920886826,1.043719267,0.858007816,1.054085012,0.879389532,0.589129956,0.760119771,0.340566601,0.397907592,0.405271099,0.15623769,0.044661885,0.132565313,0.019253534,0.156851844,0.021462955,0.051846659,0.255718152,0.696036151,0,0.268602574,0.061942721,0.128462101,0.298587585,0.238933195,0.135053415,0.146768739,0,0.082064241,0.12467452,0,0.10415846,1.249017787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,7,6,0,2,1,-1,-1,130,23.95234226,8.926688323,4.87709883,2.31817341,8.705783634,8.788967826,17.23501708,4.726545562,3.684523315,0.837859227,1.440270075,0.717270434,1.860384994,1.72229926,0.11847843,0.045732861,0.291887063,0.853551251,0.620252871,0.519902174,0.133206152,0.625154777,0.936711273,0.159335707,0.050655861,1.277653373,0,0,0,0.113694265,0.054032918,0,0.12832818,0.053068044,0.337705737,0,0.074295262,1.005447291,0,0.071079017,0,0.072043891,0.248801692,0,0.031519202,0.332126375,0.10694015,0.806407121,0.314066336,0.103620453,0.721078049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,7,6,0,2,1,-1,-1,135,3.853957081,0.738841513,3.086701708,16.76069809,4.893528676,11.97230384,11.7195359,15.72963579,5.759661339,4.868807414,1.694717067,0.934602939,1.619650965,0.099294857,1.139338642,0.158897253,0.119812137,0.214169681,0.436224785,0.442469784,0,0.380940722,0.52714085,1.168278056,0.136964298,1.963075787,0.661680167,0.263688674,0.245329614,0.089091076,0.641558154,0.206520612,0.055297909,1.84785827,0.694295975,1.978436317,0.064514228,0.740189545,0.032257114,0.121067932,0,0,0.181254259,0.091909813,0.135172668,0.175110047,0.203526596,0.444138765,0.169320208,0,0.538532882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,7,6,0,2,1,-1,-1,180,0,0,1.122763522,0.41950192,2.971004189,2.713558019,7.024050928,10.73815046,15.15080817,5.469983665,5.320190347,2.060805427,3.445907212,2.632559526,2.202548265,3.194575351,2.115400434,1.476445074,2.610358131,1.366853175,0.984468096,3.014519445,0.339108103,3.802266851,1.183715385,2.39184295,0.766337451,1.722635578,1.230026758,0.961022398,0.467705053,0.254516118,0.029506007,0.74587235,1.518312957,0.645236758,0.29462487,1.65101574,0.275006702,0.143836355,0.408779822,1.015080451,0.102979197,0.596821439,0.022176876,1.533733546,0.271233395,1.264760917,0,0,0.327394614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,7,6,0,2,1,-1,-1,101,0,4.725566835,1.823632931,7.557267235,2.711357979,7.528518369,2.857825091,9.762196076,5.471120167,10.79789195,19.99357301,3.598058069,1.101077956,1.652904242,1.566852432,2.406574988,0.458281861,0.774101571,0.372461288,2.342070951,0.51292096,0.73805693,0.087250916,0,1.534042748,0.132163683,1.084772047,0.748355399,0.25746172,0.836464521,0.644606411,0.640793614,0.758653868,0.350147939,0.04634311,0,0,0.186659747,0.741489753,0,0,0,0,0.092494056,0.217984256,0.734624108,1.259846016,0,0,0.051492344,0.842042858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,7,6,0,2,1,-1,-1,230,0,0.261749967,59.46422617,5.143295356,0.811360643,0.969245951,0.692372819,2.68392523,1.481134577,3.482296494,6.930853701,4.811750688,2.284224247,1.954112732,0.917563366,0.519405721,0.935586248,0.063082481,0.040828789,0.087015225,0.10076812,1.187507231,0.004096265,0.075371277,0.104675326,0.045624816,1.141558349,0.757840958,0.702029111,0.225734521,0.01638506,0.018842819,0.047516674,0,0,0.150301748,0,0,0.035637506,0.027979277,0,0,0.519406405,0,0.580216044,0,0,0.05352453,0.004915518,0.004915518,0.661122524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,7,6,0,2,1,-1,-1,227,0,3.407107313,7.607179354,51.94268127,5.576978379,3.59192433,1.496182798,2.125429749,2.656019366,1.977380106,2.300465255,4.176711476,3.242005907,1.25441745,0.947135476,1.140523671,0.533086813,0.186810773,0.057238435,0.372148671,0.17602814,0.349674259,0.261318988,0.267696047,0.073427167,0.003969067,0.093273084,0.173490339,0.122776485,0.023152893,0.099623592,0.12185037,0.037606678,0.72141954,0.007938135,0.497865383,0,0,0.210354267,0.077396234,0.346414216,0,0.003969067,0.221077055,0.153999816,0.061520545,0.211029047,0.274755442,0.219516591,0.073427167,0.52400379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,7,6,0,2,1,-1,-1,205,0,0.16090937,26.835239,12.40433998,34.6105522,6.563686319,4.198969383,1.092105392,3.25119598,1.590698668,0.147393098,0.538467693,3.603894263,1.429746415,0.207348478,0.778369081,0.184035515,0.006396956,0,0,0.177484972,0.047075038,0.029389722,0.01377806,0.008857324,0.023619531,0,0.004352958,0.054128093,0.104319597,0.188715587,0,0,0.023619531,0,0.021159163,0,0,0.021159163,0,0.002460368,0.009273694,0.012301839,0,0,1.045991839,0,0,0.176586639,0.082176286,0.350202795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,6,0,2,1,-1,-1,90,0,0.015066153,9.138642402,37.07134438,14.84965205,17.10725183,5.864155196,1.322602918,0.540700565,1.131238719,0.967443768,1.496057781,1.212796022,1.310565511,2.19539234,0,0.020544754,1.14507057,0.212249595,0.008370085,0.231576882,0.085679232,0.013696503,1.287984855,0.1112156,0,0.124912103,0,0.127377473,0.122172802,0.264342498,0,0.013696503,0,0.006848251,0.084689131,0.143813276,0.004108951,0,0,0,0.021305671,0,0,0,0.021305671,0,0,0,0,1.726129962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,6,0,2,1,-1,-1,184,0,3.407636427,0.889980613,11.35727227,11.37677281,8.495148762,13.18214807,13.23701775,7.654807656,5.638572138,0.16603364,3.159659422,0.996956021,0.40785681,2.561453299,2.332305631,5.612460456,3.167903247,1.03380174,0.385449349,0.051699098,0.029826402,0.07449144,0,0.058981711,0,0,1.010860266,0.106629389,0,0,0.033482542,0.00596528,0.160764309,0,0.622454569,0,0.071961808,0,0,0,1.426041264,0.028633346,0,0,0.26111543,0.252927893,0,0,0.008351393,0.732577746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,7,6,0,2,1,-1,-1,348,0,1.101005583,28.63848785,11.77215824,6.707495478,13.37181445,5.30620572,9.784372608,4.48606496,2.91965074,0.955100438,0.333957255,0.745179773,1.557151753,0.268296349,1.533129562,0.46620227,0.679195309,0.629161405,0.209173535,0.474889457,0.213850087,0.19355476,0.648216347,0.001733452,0.217391553,0.077549034,0.170812253,0.107742305,0.076913386,0.09026199,0.083905512,0.200819307,0.048627058,0.023201145,0.494261581,0.170035791,0.330854688,0.407326212,0.052123121,0,1.046968749,0.053133388,0.102259842,0.176021474,0,0.07723121,0.00158912,0,0.099108089,2.895815818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7,6,0,2,1,-1,-1,474,0.02958214,0.507884073,4.673195271,38.46540891,8.672167486,6.228581197,7.790934593,4.588808577,6.644659465,4.577075074,0.766625862,0.976853566,0.995047543,0.876840106,1.65290587,1.678715457,1.408287059,0.811365942,0.803028986,1.854497132,0.271685588,0.285387393,0.180817967,0.121090812,0.473524455,0.262111523,0.084274702,0.050564821,0.394595832,0.184578422,0.128303934,0.076019221,0.22461788,0.190220042,0.081293556,0.102244054,0.428004839,0.008022922,0.019262789,0,0,0,0.139002699,0,0.223189092,0.121768345,0,0,0.094250075,0.046093102,1.806611622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,7,6,0,2,1,-1,-1,142,0,0.289119824,1.347998159,13.84496146,34.90894918,9.047275169,7.008044135,4.362857813,4.725800398,1.87083703,1.64632562,2.34242303,0.324346404,1.919992446,1.069006737,3.201949211,0.813955172,1.14543013,1.377541999,0.040513606,0.090234849,0.401453004,0.35909787,0.334631861,1.379225213,0.018415275,0,0.121540818,0.228349415,0,0.141797621,0.049721244,0.211775667,0.049721244,0,0.322267319,0,0,0.672157552,1.469708536,0,0.677682135,0,0,0,0.149163731,0,0.181220246,0.366385067,0.009207638,1.478916174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,6,0,2,1,-1,-1,337,0,0.141576395,23.54974404,6.76392726,9.567272336,17.5946313,7.421670022,6.455990113,3.778030043,3.697961858,4.133215907,1.433418561,0.781216511,0.50179835,2.007193399,0.997145976,1.45464269,0.765259459,1.311194335,0.538465618,1.021590822,0.390438499,0.057037972,0.624984526,0.052963831,0.15821247,0.007469258,0.310148619,0.03327215,0.278739137,0.014599005,0.125279832,0.478711552,0.024444845,0.030556056,0.155835888,0.04888969,0.044476038,0.240034799,0.008148282,0,0,0,0,0.123921785,0.15821247,0.066883813,0,0.083180376,0,2.567614109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,7,6,0,2,1,-1,-1,431,0,0.344647801,1.487374888,28.31342448,5.651464554,7.24879682,18.31756138,4.516427304,5.756117521,3.96021803,2.220373584,2.794923618,1.352739545,0.801836667,0.936336196,0.953399792,1.237906042,0.190434804,1.28303591,1.685170176,1.161745467,1.03811393,0.191482263,0.313516869,0.034059312,0.516214008,0.289301418,0.339782185,0.534125688,0.334916569,0.28889595,0.268825284,0.509673277,0.594270108,0,0.040952268,0.072578772,0.087581088,0.158537988,0.453786271,0.15948408,0,0,0,0,0,0,0.18437531,0,0.444933553,2.930659225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,6,0,2,1,-1,-1,289,0,0.212373079,1.959003152,12.27807235,4.948119896,24.0221327,9.93681766,6.132629333,6.82524258,5.042878428,3.034903639,4.04254135,3.074792843,1.310526571,2.058264482,1.178116573,2.388550789,0.261495896,0.478301109,1.533887649,1.190766622,1.014219958,0.757894885,0.363804318,0.221606691,0.615327913,0.623453492,0.361218907,0.611634468,0.149215172,0.076823653,0.178393387,0.026962147,0.511911457,0,0.361218907,0.051708228,0.218282591,0.138504182,0.353462673,0.00738689,0.018467224,0.052077572,0.167313052,0.044690683,0.100831045,0,0.05355495,0,0.149953861,0.860664988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,6,0,2,1,-1,-1,198,0.010196143,1.973454159,7.350320285,6.035829745,6.551942412,31.07203793,8.560497037,6.401653338,2.959969713,4.388836263,5.827220158,4.365096436,3.245750153,3.855286232,1.358781766,1.546924888,0.934868441,0.285783333,0.237570141,0.48446247,0.164157909,0.168236366,0.461593977,0.030679467,0.010196143,0.106030646,0.043333609,0.14489448,0.032773318,0,0,0.027675246,0,0.325256974,0,0.023305471,0,0,0.023791001,0.122736076,0,0,0,0.691298522,0,0,0,0,0,0,0.177559754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,7,6,0,2,1,-1,-1,311,0,0.24901436,16.41759918,14.31614941,4.332498829,4.403807605,20.35524632,5.050956739,2.943818808,2.809334612,3.292210095,2.791286936,4.153634629,2.537472461,1.423714165,0.682457226,1.440767794,1.209526654,1.278641229,1.805459899,0.886355023,1.052361307,0.07838843,0.722034078,0.489501905,0.320545483,0.238526714,0.020235671,0.307099783,0,0,0,0.303872815,0.144451635,0.542433143,0.083363339,0.13660831,0.058264699,0.200072013,0,0,0.428514452,0.01479027,0,0.227725335,0.032807507,0,0.042264632,0.310864579,0,1.865321929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7,6,0,2,1,-1,-1,635,0.00099777,0.163446817,10.1254292,33.66815865,6.170639822,2.883868701,6.229166611,12.18430268,3.376989252,2.297395547,1.088225033,3.483687119,1.333553841,2.029684212,1.644073361,2.500505547,1.301455376,0.957332328,0.898761789,0.806846756,1.013280875,0.342434766,0.438653082,0.561840874,1.067786405,0.254329445,0.63188793,0.332939319,0.07423411,0.058203267,0.07107688,0.032227981,0.026440913,0.024934755,0.080320509,0.029683666,0.089200665,0,0.106661645,0.100475469,0.058968225,0.006685061,0.145574687,0.108258077,0.255863461,0,0.036481032,0.036668058,0,0.007217205,0.863151217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
