"year","seas","fleet","catch","catch_se"
1901,1,1,1.37,0.01
1902,1,1,2.75,0.01
1903,1,1,4.13,0.01
1904,1,1,5.51,0.01
1905,1,1,6.88,0.01
1906,1,1,8.26,0.01
1907,1,1,9.64,0.01
1908,1,1,11.02,0.01
1909,1,1,12.37,0.01
1910,1,1,13.71,0.01
1911,1,1,15.06,0.01
1912,1,1,16.41,0.01
1913,1,1,17.76,0.01
1914,1,1,19.11,0.01
1915,1,1,20.12,0.01
1916,1,1,26.32,0.01
1917,1,1,286.38,0.01
1918,1,1,157.05,0.01
1919,1,1,105.43,0.01
1920,1,1,245.84,0.01
1921,1,1,321.89,0.01
1922,1,1,84.53,0.01
1923,1,1,169.43,0.01
1924,1,1,293.77,0.01
1925,1,1,227.41,0.01
1926,1,1,55.29,0.01
1927,1,1,312.45,0.01
1928,1,1,288.62,0.01
1929,1,1,468.39,0.01
1930,1,1,445.83,0.01
1931,1,1,323.91,0.01
1932,1,1,297.47,0.01
1933,1,1,420.31,0.01
1934,1,1,668.06,0.01
1935,1,1,883.55,0.01
1936,1,1,330.5,0.01
1937,1,1,226.88,0.01
1938,1,1,253.22,0.01
1939,1,1,290.56,0.01
1940,1,1,297.82,0.01
1941,1,1,484.34,0.01
1942,1,1,922.9,0.01
1943,1,1,2064.33,0.01
1944,1,1,2972.91,0.01
1945,1,1,2686.53,0.01
1946,1,1,1655.56,0.01
1947,1,1,510.61,0.01
1948,1,1,947.53,0.01
1949,1,1,1011.04,0.01
1950,1,1,1020.54,0.01
1951,1,1,2008.26,0.01
1952,1,1,1157.87,0.01
1953,1,1,790.87,0.01
1954,1,1,1065.11,0.01
1955,1,1,969.15,0.01
1956,1,1,2532.66,0.01
1957,1,1,1036.22,0.01
1958,1,1,816.05,0.01
1959,1,1,1001.94,0.01
1960,1,1,1317.03,0.01
1961,1,1,781.56,0.01
1962,1,1,1625.33,0.01
1963,1,1,898.66,0.01
1964,1,1,1036.13,0.01
1965,1,1,1021.02,0.01
1966,1,1,1131.9,0.01
1967,1,1,1310.96,0.01
1968,1,1,1089.53,0.01
1969,1,1,1350.94,0.01
1970,1,1,1590.65,0.01
1971,1,1,1516.95,0.01
1972,1,1,2731.42,0.01
1973,1,1,3958.58,0.01
1974,1,1,2832.94,0.01
1975,1,1,3530.38,0.01
1976,1,1,3580.98,0.01
1977,1,1,3348.38,0.01
1978,1,1,4412.03,0.01
1979,1,1,7006.61,0.01
1980,1,1,4499.84,0.01
1981,1,1,5552.3,0.01
1982,1,1,10340.53,0.01
1983,1,1,7533.48,0.01
1984,1,1,8612.47,0.01
1985,1,1,7500,0.01
1986,1,1,6671.96,0.01
1987,1,1,6551.14,0.01
1988,1,1,5542.72,0.01
1989,1,1,5806.86,0.01
1990,1,1,5196.07,0.01
1991,1,1,4986.43,0.01
1992,1,1,5464.99,0.01
1993,1,1,4960.81,0.01
1994,1,1,3832.47,0.01
1995,1,1,3857.76,0.01
1996,1,1,4204.09,0.01
1997,1,1,3772.19,0.01
1998,1,1,2177.65,0.01
1999,1,1,3167.61,0.01
2000,1,1,2713.86,0.01
2001,1,1,2602.09,0.01
2002,1,1,1577.99,0.01
2003,1,1,2314.84,0.01
2004,1,1,2419.51,0.01
2005,1,1,2404.5,0.01
2006,1,1,2542.3,0.01
2007,1,1,2494.75,0.01
2008,1,1,2895.76,0.01
2009,1,1,3062.05,0.01
2010,1,1,2540.44,0.01
2011,1,1,1730.83,0.01
2012,1,1,1527.13,0.01
2013,1,1,1411.64,0.01
2014,1,1,1306.87,0.01
2015,1,1,1499.34,0.01
2016,1,1,1488.91,0.01
2017,1,1,1673.78,0.01
2018,1,1,1505.52,0.01
2019,1,1,1639.21,0.01
2020,1,1,1107.43,0.01
2021,1,1,1653.87,0.01
2022,1,1,2101.26,0.01
2023,1,1,1676.6,0.01
2024,1,1,1791.53,0.01
1890,1,2,2.12,0.01
1891,1,2,6.08,0.01
1892,1,2,7.17,0.01
1893,1,2,10.88,0.01
1894,1,2,14.6,0.01
1895,1,2,18.32,0.01
1896,1,2,20.76,0.01
1897,1,2,23.2,0.01
1898,1,2,25.64,0.01
1899,1,2,28.08,0.01
1900,1,2,77.86,0.01
1901,1,2,92.74,0.01
1902,1,2,110.58,0.01
1903,1,2,132.12,0.01
1904,1,2,158.28,0.01
1905,1,2,140.6,0.01
1906,1,2,122.91,0.01
1907,1,2,105.23,0.01
1908,1,2,87.54,0.01
1909,1,2,142.55,0.01
1910,1,2,197.57,0.01
1911,1,2,252.58,0.01
1912,1,2,307.59,0.01
1913,1,2,362.6,0.01
1914,1,2,417.61,0.01
1915,1,2,472.48,0.01
1916,1,2,1287.88,0.01
1917,1,2,1694.92,0.01
1918,1,2,2683.77,0.01
1919,1,2,919.08,0.01
1920,1,2,627.01,0.01
1921,1,2,846.41,0.01
1922,1,2,711.23,0.01
1923,1,2,1259.02,0.01
1924,1,2,1534.96,0.01
1925,1,2,1869.37,0.01
1926,1,2,1639.23,0.01
1927,1,2,2205.99,0.01
1928,1,2,1820.93,0.01
1929,1,2,1814.85,0.01
1930,1,2,2096.51,0.01
1931,1,2,1073.28,0.01
1932,1,2,1351.01,0.01
1933,1,2,1102.5,0.01
1934,1,2,1971.37,0.01
1935,1,2,2499.43,0.01
1936,1,2,2021.8,0.01
1937,1,2,2301.23,0.01
1938,1,2,2221.87,0.01
1939,1,2,2453.08,0.01
1940,1,2,1881.66,0.01
1941,1,2,1655.75,0.01
1942,1,2,2305.85,0.01
1943,1,2,1858.41,0.01
1944,1,2,1511.59,0.01
1945,1,2,1730.55,0.01
1946,1,2,2799.31,0.01
1947,1,2,1722.21,0.01
1948,1,2,1906.56,0.01
1949,1,2,2014.98,0.01
1950,1,2,1642.7,0.01
1951,1,2,2278.09,0.01
1952,1,2,1492.68,0.01
1953,1,2,1026.87,0.01
1954,1,2,1376.43,0.01
1955,1,2,1341.14,0.01
1956,1,2,1043.01,0.01
1957,1,2,1658.93,0.01
1958,1,2,802.42,0.01
1959,1,2,1260.36,0.01
1960,1,2,1755,0.01
1961,1,2,1082.03,0.01
1962,1,2,1032.44,0.01
1963,1,2,978.57,0.01
1964,1,2,1030.45,0.01
1965,1,2,934.86,0.01
1966,1,2,762.47,0.01
1967,1,2,835.91,0.01
1968,1,2,722.06,0.01
1969,1,2,995.5,0.01
1970,1,2,645.69,0.01
1971,1,2,549.77,0.01
1972,1,2,1107.05,0.01
1973,1,2,307.86,0.01
1974,1,2,332.46,0.01
1975,1,2,386.12,0.01
1976,1,2,430.97,0.01
1977,1,2,630.37,0.01
1978,1,2,1260.4,0.01
1979,1,2,4150.8,0.01
1980,1,2,1268.92,0.01
1981,1,2,1975.23,0.01
1982,1,2,1775.17,0.01
1983,1,2,1163.37,0.01
1984,1,2,1001.91,0.01
1985,1,2,2761.85,0.01
1986,1,2,3532.54,0.01
1987,1,2,3972.94,0.01
1988,1,2,3067.96,0.01
1989,1,2,2430.86,0.01
1990,1,2,2205.06,0.01
1991,1,2,3450.44,0.01
1992,1,2,3097.66,0.01
1993,1,2,2338.18,0.01
1994,1,2,2376.24,0.01
1995,1,2,2991.89,0.01
1996,1,2,3362.5,0.01
1997,1,2,3586.78,0.01
1998,1,2,1758.69,0.01
1999,1,2,2719.56,0.01
2000,1,2,2714.82,0.01
2001,1,2,2363.45,0.01
2002,1,2,1754.29,0.01
2003,1,2,2313.46,0.01
2004,1,2,2524.62,0.01
2005,1,2,2809.08,0.01
2006,1,2,2606.45,0.01
2007,1,2,2065.36,0.01
2008,1,2,2302.53,0.01
2009,1,2,3271.87,0.01
2010,1,2,3387.32,0.01
2011,1,2,3242.59,0.01
2012,1,2,2605.8,0.01
2013,1,2,1877.41,0.01
2014,1,2,2011.02,0.01
2015,1,2,2358.08,0.01
2016,1,2,2534.97,0.01
2017,1,2,2416.37,0.01
2018,1,2,2461.6,0.01
2019,1,2,2274.96,0.01
2020,1,2,1503.56,0.01
2021,1,2,1885.61,0.01
2022,1,2,2299.82,0.01
2023,1,2,2270.2,0.01
2024,1,2,2031.09,0.01
1969,1,3,14.55,0.01
1970,1,3,113.96,0.01
1971,1,3,180.78,0.01
1972,1,3,272.84,0.01
1973,1,3,452.49,0.01
1974,1,3,3002.31,0.01
1975,1,3,3676.89,0.01
1976,1,3,3106.35,0.01
1977,1,3,3556.17,0.01
1978,1,3,5845.18,0.01
1979,1,3,12248.97,0.01
1980,1,3,2990.55,0.01
1981,1,3,3897.43,0.01
1982,1,3,6511.36,0.01
1983,1,3,5954.87,0.01
1984,1,3,4400.65,0.01
1985,1,3,3870.43,0.01
1986,1,3,2945.82,0.01
1987,1,3,2077.35,0.01
1988,1,3,2133.01,0.01
1989,1,3,2046.71,0.01
1990,1,3,1664.25,0.01
1991,1,3,1063.83,0.01
1992,1,3,798.41,0.01
1993,1,3,847.43,0.01
1994,1,3,1369.82,0.01
1995,1,3,1065.11,0.01
1996,1,3,750.35,0.01
1997,1,3,584.14,0.01
1998,1,3,447.66,0.01
1999,1,3,755.34,0.01
2000,1,3,852.47,0.01
2001,1,3,672.82,0.01
2002,1,3,472.03,0.01
2003,1,3,798.88,0.01
2004,1,3,815.14,0.01
2005,1,3,996.42,0.01
2006,1,3,1052.54,0.01
2007,1,3,686.61,0.01
2008,1,3,674.87,0.01
2009,1,3,864.09,0.01
2010,1,3,904.9,0.01
2011,1,3,1448.32,0.01
2012,1,3,1166.88,0.01
2013,1,3,845.8,0.01
2014,1,3,1108.34,0.01
2015,1,3,1315.02,0.01
2016,1,3,1403.01,0.01
2017,1,3,1427.47,0.01
2018,1,3,1289.4,0.01
2019,1,3,1464.5,0.01
2020,1,3,1332.33,0.01
2021,1,3,1327.95,0.01
2022,1,3,1664.54,0.01
2023,1,3,1934.78,0.01
2024,1,3,1664.02,0.01
1966,1,4,2.32,0.01
1967,1,4,493.44,0.01
1968,1,4,216.55,0.01
1969,1,4,717.12,0.01
1970,1,4,1249.89,0.01
1971,1,4,963.4,0.01
1972,1,4,807.53,0.01
1973,1,4,317.44,0.01
1974,1,4,646.31,0.01
1975,1,4,440.41,0.01
1976,1,4,313,0.01
1977,1,4,351.69,0.01
1978,1,4,299.48,0.01
1979,1,4,505.33,0.01
1980,1,4,695.79,0.01
1981,1,4,164.98,0.01
1982,1,4,102.98,0.01
1983,1,4,97.46,0.01
1984,1,4,22.21,0.01
1985,1,4,26.56,0.01
1986,1,4,29.78,0.01
1987,1,4,88.5,0.01
1988,1,4,85.84,0.01
1989,1,4,9.75,0.01
1990,1,4,17.66,0.01
1991,1,4,27.36,0.01
1992,1,4,60.89,0.01
1993,1,4,8.27,0.01
1994,1,4,0.74,0.01
1995,1,4,12.18,0.01
1996,1,4,6.86,0.01
1997,1,4,1.24,0.01
1998,1,4,34.14,0.01
1999,1,4,1.73,0.01
2000,1,4,49.93,0.01
2001,1,4,22.14,0.01
2002,1,4,21.58,0.01
2003,1,4,17.23,0.01
2004,1,4,28.82,0.01
2005,1,4,15.14,0.01
2006,1,4,2.42,0.01
2007,1,4,3.15,0.01
2008,1,4,2.4,0.01
2009,1,4,0.22,0.01
2010,1,4,12.38,0.01
2011,1,4,5.07,0.01
2012,1,4,5.1,0.01
2013,1,4,12.68,0.01
2014,1,4,16.17,0.01
2015,1,4,11.61,0.01
2016,1,4,27.72,0.01
2017,1,4,153.27,0.01
2018,1,4,116.78,0.01
2019,1,4,71.37,0.01
2020,1,4,15.18,0.01
2021,1,4,55.37,0.01
2022,1,4,305.89,0.01
2023,1,4,161.31,0.01
1966,1,5,7.78,0.01
1967,1,5,1651.96,0.01
1968,1,5,724.96,0.01
1969,1,5,2400.78,0.01
1970,1,5,1007.31,0.01
1971,1,5,677.6,0.01
1972,1,5,1702.47,0.01
1973,1,5,637.56,0.01
1974,1,5,1614.69,0.01
1975,1,5,1206.59,0.01
1976,1,5,770,0.01
1977,1,5,880.11,0.01
1978,1,5,588.28,0.01
1979,1,5,336.49,0.01
1980,1,5,102.41,0.01
1974,1,6,175,0.01
1975,1,6,5066,0.01
1976,1,6,16198,0.01
1977,1,6,168,0.01
