"year","seas","Sex","GP","bseas","Fleet","a0","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","a11","a12","a13","a14","a15","a16","a17","a18","a19","a20","a21","a22","a23","a24","a25","a26","a27","a28","a29","a30"
1890,1,1,1,1,1,617,1785,1946,2048,1499,1269,1058,835,643,437,397,321,309,244,220,197,186,159,158,136,118,137,100,117,88,68,84,77,88,64,1027
1890,1,2,1,1,1,784,1690,1977,1754,1407,1116,979,770,631,538,447,398,343,267,230,220,202,168,170,149,134,146,136,123,110,111,88,122,102,98,1740
1997,1,1,1,1,1,17,105,187,142,138,78,54,45,34,31,32,28,21,18,17,23,27,11,18,20,11,11,13,11,8,12,8,3,11,6,110
1997,1,2,1,1,1,20,109,152,126,96,62,48,34,29,30,14,22,24,17,20,12,12,13,17,14,13,10,13,12,11,7,14,10,7,19,143
1998,1,1,1,1,1,0,4,16,98,38,8,13,18,18,5,3,2,5,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1998,1,2,1,1,1,0,8,19,85,37,7,4,11,9,4,2,4,0,3,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0
1999,1,1,1,1,1,9,0,19,5,29,16,13,8,13,14,12,6,7,5,5,9,3,2,4,7,2,6,5,4,4,3,7,2,3,2,38
1999,1,2,1,1,1,11,2,8,9,28,15,11,7,6,5,5,11,4,4,4,5,3,5,6,3,6,1,4,7,1,2,6,4,3,2,42
2000,1,1,1,1,1,20,36,118,36,30,65,39,17,25,28,20,32,26,17,26,19,16,14,16,16,13,17,13,11,16,5,11,9,9,5,135
2000,1,2,1,1,1,23,39,99,32,27,56,34,18,20,17,21,21,25,15,22,15,15,16,10,13,12,11,9,6,13,9,7,13,13,14,154
2001,1,1,1,1,1,7,64,116,45,21,21,54,26,13,7,17,7,11,5,2,5,6,12,4,6,5,3,5,5,2,1,2,3,2,4,32
2001,1,2,1,1,1,6,40,92,21,9,9,25,17,11,8,11,10,7,8,9,8,3,2,2,3,4,6,6,3,4,4,2,1,5,1,45
2003,1,1,1,1,1,17,73,57,207,137,31,17,14,20,9,8,5,6,11,2,0,6,4,1,4,3,3,1,1,2,3,2,0,2,1,24
2003,1,2,1,1,1,28,69,49,159,149,28,28,11,11,13,3,4,6,6,8,3,4,2,6,2,3,10,4,3,2,6,3,4,4,6,58
2004,1,1,1,1,1,63,37,67,107,179,90,39,11,10,9,7,1,1,7,6,1,6,3,5,2,4,2,2,3,2,4,1,2,2,1,19
2004,1,2,1,1,1,63,40,94,97,178,71,19,9,9,15,4,3,2,5,7,3,2,5,5,4,4,7,4,1,6,5,1,3,4,6,46
2005,1,1,1,1,1,1,118,41,103,97,130,52,29,6,4,10,5,11,7,8,12,4,8,6,6,7,8,4,4,3,1,1,5,5,3,32
2005,1,2,1,1,1,3,105,41,104,132,130,57,23,12,12,21,12,12,8,8,10,8,6,13,8,7,2,9,8,14,7,5,4,5,3,51
2006,1,1,1,1,1,1,6,39,31,65,78,109,71,26,13,9,7,11,8,8,3,9,10,7,10,7,7,5,5,3,2,0,4,4,4,48
2006,1,2,1,1,1,3,4,51,25,48,92,117,56,22,24,21,21,8,11,6,7,5,10,5,11,6,9,13,7,5,12,4,10,3,3,116
2007,1,1,1,1,1,1,28,5,62,27,46,65,100,63,19,13,14,6,7,7,7,3,5,9,6,3,5,5,10,4,2,6,3,4,5,38
2007,1,2,1,1,1,0,14,5,64,23,57,67,106,51,33,13,11,11,7,4,4,8,6,4,5,3,12,7,8,2,8,6,9,6,3,111
2008,1,1,1,1,1,81,3,26,4,19,16,42,62,89,36,22,18,13,6,7,6,4,5,9,5,10,3,3,8,4,4,6,9,5,4,34
2008,1,2,1,1,1,72,4,16,5,17,9,51,69,80,46,32,21,10,8,7,3,11,8,7,12,4,6,3,7,5,8,7,11,3,3,81
2009,1,1,1,1,1,11,167,9,10,7,23,12,18,19,54,37,19,9,4,6,4,5,2,6,2,1,9,1,2,1,3,4,4,2,2,55
2009,1,2,1,1,1,13,167,11,10,6,23,16,30,39,57,58,26,14,7,10,13,7,3,4,6,7,7,2,5,3,5,1,7,3,5,103
2010,1,1,1,1,1,36,11,201,22,9,7,19,18,21,24,42,16,11,8,4,2,5,4,3,1,2,4,1,7,5,1,2,4,7,0,45
2010,1,2,1,1,1,55,15,256,30,3,4,14,23,12,30,43,40,16,7,4,7,8,3,5,4,4,7,4,3,8,1,5,6,5,7,92
2011,1,1,1,1,1,21,112,24,169,19,8,13,18,15,20,14,23,13,13,6,4,4,2,6,4,5,5,2,1,3,4,1,2,1,4,34
2011,1,2,1,1,1,30,85,41,135,18,7,16,14,25,20,22,25,21,12,6,7,9,3,5,6,3,5,5,9,2,1,5,4,5,1,70
2012,1,1,1,1,1,22,47,78,43,113,27,10,5,7,7,3,16,26,16,10,8,8,6,3,1,2,4,3,5,4,4,3,5,2,3,40
2012,1,2,1,1,1,14,46,101,35,82,23,13,5,9,8,12,17,27,19,11,13,9,4,3,1,3,2,5,4,2,4,1,3,2,3,76
2013,1,1,1,1,1,25,20,35,73,57,80,16,6,7,6,5,11,12,17,12,6,4,6,2,5,4,2,2,4,1,1,1,1,3,2,34
2013,1,2,1,1,1,46,13,34,93,38,64,21,8,6,7,11,12,21,23,17,11,2,8,6,0,9,3,2,4,2,1,1,1,4,2,61
2014,1,1,1,1,1,14,176,15,42,50,50,56,24,14,5,7,6,6,6,7,6,7,7,4,6,2,5,5,1,2,0,2,5,1,2,29
2014,1,2,1,1,1,20,164,24,19,60,31,61,34,20,11,7,6,11,8,8,12,15,18,3,5,1,5,4,1,2,3,0,7,4,2,62
2015,1,1,1,1,1,5,49,170,62,32,53,31,34,11,4,3,8,7,6,5,13,5,6,6,2,5,2,3,1,2,2,3,2,2,4,48
2015,1,2,1,1,1,12,45,171,36,24,54,33,38,21,12,5,4,6,8,2,5,10,9,9,3,4,2,5,2,1,2,3,2,3,3,70
2016,1,1,1,1,1,33,14,52,160,48,41,41,37,23,18,5,4,9,2,10,10,11,10,7,5,0,2,4,1,3,1,1,1,4,3,35
2016,1,2,1,1,1,58,24,55,141,40,25,35,23,33,18,3,6,6,8,12,13,10,8,11,9,4,4,3,2,4,3,2,1,3,2,51
2017,1,1,1,1,1,10,124,33,61,101,39,27,27,24,8,12,5,5,6,3,5,9,9,10,5,0,8,2,5,1,2,5,1,1,2,36
2017,1,2,1,1,1,4,113,24,66,104,34,28,25,26,29,17,9,10,6,5,13,8,5,6,4,7,2,5,3,4,2,1,3,2,1,56
2018,1,1,1,1,1,14,26,168,46,67,99,49,50,38,22,26,6,8,3,4,4,8,9,7,7,9,9,3,1,2,1,1,0,3,3,39
2018,1,2,1,1,1,11,26,175,34,55,92,48,42,27,30,26,12,9,7,10,10,7,7,6,7,7,7,5,5,0,4,1,5,4,5,61
2019,1,1,1,1,1,16,45,7,103,26,18,73,18,20,13,10,11,3,3,4,1,2,2,3,4,6,4,2,2,0,0,1,1,2,1,15
2019,1,2,1,1,1,28,36,11,101,27,32,56,22,14,15,10,12,4,4,7,4,7,2,7,9,6,2,1,2,1,3,1,1,3,1,29
2021,1,1,1,1,1,104,241,72,34,22,169,57,47,41,34,29,32,24,17,20,11,13,5,6,2,7,6,8,11,5,5,5,5,5,1,50
2021,1,2,1,1,1,134,226,66,32,42,139,40,32,43,31,42,32,37,26,10,11,10,6,6,4,3,11,11,8,3,7,7,5,5,2,48
2022,1,1,1,1,1,10,165,197,64,18,14,100,22,19,18,16,14,23,19,14,13,6,3,6,3,4,3,3,4,4,1,5,1,5,0,30
2022,1,2,1,1,1,17,188,191,56,25,19,83,24,20,27,22,21,17,14,9,6,9,5,7,7,7,7,3,4,6,4,1,2,3,0,47
2023,1,1,1,1,1,68,19,183,192,42,29,34,89,19,17,20,15,23,23,15,15,9,8,6,2,5,8,5,7,4,5,4,2,3,2,18
2023,1,2,1,1,1,87,17,173,146,40,14,37,69,24,23,15,23,16,16,15,14,9,8,9,7,5,3,5,4,5,0,2,3,1,2,37
2024,1,1,1,1,1,11,95,11,127,108,33,23,21,48,12,15,10,12,8,11,9,6,5,3,5,1,1,0,3,3,1,2,3,0,0,9
2024,1,2,1,1,1,26,91,18,93,99,19,17,20,52,13,7,13,19,10,9,10,11,5,6,2,2,4,4,5,4,3,2,3,2,2,30
